operation_id,employee_id,client_id,revenue,qty_sales
1,1232122,453,52740.00,57
2,1232132,295,365085.00,57
3,1232142,366,235350.00,32
4,1232152,67,86055.00,44
5,1232162,424,447840.00,38
6,1232172,228,195540.00,84
7,1232182,404,390000.00,55
8,1232192,56,288540.00,50
9,1232202,252,127530.00,92
10,1232212,688,308610.00,38
11,1232222,566,430215.00,29
12,1232232,700,419280.00,44
13,1232242,403,269760.00,23
14,1232252,340,324270.00,17
15,1232262,134,291450.00,94
16,1232272,185,142110.00,65
17,1232282,400,270375.00,83
18,1232292,78,441945.00,91
19,1232302,446,163845.00,81
20,1232312,362,69225.00,20
21,1232322,154,161010.00,11
22,1232332,655,102030.00,57
23,1232342,521,86850.00,18
24,1232352,99,75045.00,58
25,1232362,505,135240.00,38
26,1232372,151,134010.00,92
27,1232382,442,95415.00,40
28,1232392,308,197025.00,21
29,1232402,166,397125.00,92
30,1232412,646,141480.00,73
31,1232422,399,314295.00,35
32,1232432,47,203475.00,66
33,1232442,124,182910.00,68
34,1232452,281,321195.00,27
35,1232462,353,265815.00,2
36,1232472,257,242940.00,7
37,1232482,274,407355.00,40
38,1232492,510,148320.00,53
39,1232502,163,445110.00,76
40,1232512,345,430785.00,48
41,1232522,518,433515.00,76
42,1232532,681,381210.00,50
43,1232542,476,55575.00,94
44,1232552,76,106680.00,8
45,1232562,331,436575.00,2
46,1232582,132,355215.00,29
47,1232592,569,209715.00,71
48,1232602,433,319050.00,53
49,1232612,176,146805.00,39
50,1232622,665,262530.00,16
51,1232632,488,242025.00,88
52,1232642,609,362430.00,83
53,1232652,388,442890.00,69
54,1232662,554,179250.00,19
55,1232672,159,150360.00,14
56,1232673,160,274305.00,46
57,1232682,714,239730.00,73
58,1232692,263,312900.00,6
59,1232702,153,368250.00,86
60,1232712,84,132840.00,6
61,1232722,392,423660.00,40
62,1232732,226,442725.00,55
63,1232742,326,311520.00,95
64,1232752,26,177165.00,10
65,1232762,689,40950.00,85
66,1232772,533,87930.00,2
67,1232782,552,384345.00,83
68,1232792,230,228870.00,51
69,1232802,578,391665.00,26
70,1232812,355,247425.00,69
71,1232822,260,215565.00,84
72,1232832,71,381240.00,4
73,1232842,418,296820.00,23
74,1232852,599,381675.00,90
75,1232862,397,344115.00,20
76,1232872,66,416025.00,53
77,1232882,54,429675.00,71
78,1232892,467,278520.00,60
79,1232902,565,154335.00,37
80,1232912,24,137040.00,63
81,1232922,697,252465.00,88
82,1232932,428,320565.00,74
83,1232942,115,229590.00,14
84,1232952,68,436845.00,17
85,1232962,656,291195.00,60
86,1232972,461,274350.00,22
87,1232982,654,141165.00,87
