City ID,City
1,Aberdeen
2,Abilene
3,Akron
4,Albuquerque
5,Alexandria
6,Allen
7,Allentown
8,Altoona
9,Amarillo
10,Anaheim
11,Andover
12,Ann Arbor
13,Antioch
14,Apopka
15,Apple Valley
16,Appleton
17,Arlington
18,Arlington Heights
19,Arvada
20,Asheville
21,Athens
22,Atlanta
23,Atlantic City
24,Auburn
25,Aurora
26,Austin
27,Avondale
28,Bakersfield
29,Baltimore
30,Bangor
31,Bartlett
32,Bayonne
33,Baytown
34,Beaumont
35,Bedford
36,Belleville
37,Bellevue
38,Bellingham
39,Bethlehem
40,Beverly
41,Billings
42,Bloomington
43,Boca Raton
44,Boise
45,Bolingbrook
46,Bossier City
47,Bowling Green
48,Boynton Beach
49,Bozeman
50,Brentwood
51,Bridgeton
52,Bristol
53,Broken Arrow
54,Broomfield
55,Brownsville
56,Bryan
57,Buffalo
58,Buffalo Grove
59,Bullhead City
60,Burbank
61,Burlington
62,Caldwell
63,Camarillo
64,Cambridge
65,Canton
66,Carlsbad
67,Carol Stream
68,Carrollton
69,Cary
70,Cedar Hill
71,Cedar Rapids
72,Champaign
73,Chandler
74,Chapel Hill
75,Charlotte
76,Charlottesville
77,Chattanooga
78,Chesapeake
79,Chester
80,Cheyenne
81,Chicago
82,Chico
83,Chula Vista
84,Cincinnati
85,Citrus Heights
86,Clarksville
87,Cleveland
88,Clifton
89,Clinton
90,Clovis
91,Coachella
92,College Station
93,Colorado Springs
94,Columbia
95,Columbus
96,Commerce City
97,Concord
98,Conroe
99,Conway
100,Coon Rapids
101,Coppell
102,Coral Gables
103,Coral Springs
104,Corpus Christi
105,Costa Mesa
106,Cottage Grove
107,Covington
108,Cranston
109,Cuyahoga Falls
110,Dallas
111,Danbury
112,Danville
113,Davis
114,Daytona Beach
115,Dearborn
116,Dearborn Heights
117,Decatur
118,Deer Park
119,Delray Beach
120,Deltona
121,Denver
122,Des Moines
123,Des Plaines
124,Detroit
125,Dover
126,Draper
127,Dublin
128,Dubuque
129,Durham
130,Eagan
131,East Orange
132,East Point
133,Eau Claire
134,Edinburg
135,Edmond
136,Edmonds
137,El Cajon
138,El Paso
139,Elkhart
140,Elmhurst
141,Elyria
142,Encinitas
143,Englewood
144,Escondido
145,Eugene
146,Evanston
147,Everett
148,Fairfield
149,Fargo
150,Farmington
151,Fayetteville
152,Florence
153,Fort Collins
154,Fort Lauderdale
155,Fort Worth
156,Frankfort
157,Franklin
158,Freeport
159,Fremont
160,Fresno
161,Frisco
162,Gaithersburg
163,Garden City
164,Garland
165,Gastonia
166,Georgetown
167,Gilbert
168,Gladstone
169,Glendale
170,Glenview
171,Goldsboro
172,Grand Island
173,Grand Prairie
174,Grand Rapids
175,Grapevine
176,Great Falls
177,Greeley
178,Green Bay
179,Greensboro
180,Greenville
181,Greenwood
182,Gresham
183,Grove City
184,Gulfport
185,Hackensack
