Row ID,Order ID,Order Date,Ship Date,Ship Type,Segment,Customer,Product ID,Sales,Quantity,Discount,Profit
1,CA-2016-152156,08/11/2016,11/11/2016,3,1,CG-12520,FUR-BO-10001798,261.96,2,0,41.91
2,CA-2016-152156,08/11/2016,11/11/2016,3,1,CG-12520,FUR-CH-10000454,731.94,3,0,219.58
3,CA-2016-138688,12/06/2016,16/06/2016,3,2,DV-13045,OFF-LA-10000240,14.62,2,0,6.87
4,US-2015-108966,11/10/2015,18/10/2015,4,1,SO-20335,FUR-TA-10000577,957.57,5,0.45,-383.03
5,US-2015-108966,11/10/2015,18/10/2015,4,1,SO-20335,OFF-ST-10000760,22.36,2,0.2,2.51
6,CA-2014-115812,09/06/2014,14/06/2014,4,1,BH-11710,FUR-FU-10001487,48.86,7,0,14.16
7,CA-2014-115812,09/06/2014,14/06/2014,4,1,BH-11710,OFF-AR-10002833,7.28,4,0,1.96
8,CA-2014-115812,09/06/2014,14/06/2014,4,1,BH-11710,TEC-PH-10002275,907.15,6,0.2,90.71
9,CA-2014-115812,09/06/2014,14/06/2014,4,1,BH-11710,OFF-BI-10003910,18.5,3,0.2,5.78
10,CA-2014-115812,09/06/2014,14/06/2014,4,1,BH-11710,OFF-AP-10002892,114.9,5,0,34.47
11,CA-2014-115812,09/06/2014,14/06/2014,4,1,BH-11710,FUR-TA-10001539,1706.18,9,0.2,85.3
12,CA-2014-115812,09/06/2014,14/06/2014,4,1,BH-11710,TEC-PH-10002033,911.42,4,0.2,68.35
13,CA-2017-114412,15/04/2017,20/04/2017,4,1,AA-10480,OFF-PA-10002365,15.55,3,0.2,5.44
14,CA-2016-161389,05/12/2016,10/12/2016,4,1,IM-15070,OFF-BI-10003656,407.97,3,0.2,132.59
15,US-2015-118983,22/11/2015,26/11/2015,4,3,HP-14815,OFF-AP-10002311,68.81,5,0.8,-123.85
16,US-2015-118983,22/11/2015,26/11/2015,4,3,HP-14815,OFF-BI-10000756,2.54,3,0.8,-3.81
17,CA-2014-105893,11/11/2014,18/11/2014,4,1,PK-19075,OFF-ST-10004186,665.88,6,0,13.31
18,CA-2014-167164,13/05/2014,15/05/2014,3,1,AG-10270,OFF-ST-10000107,55.5,2,0,9.98
19,CA-2014-143336,27/08/2014,01/09/2014,3,1,ZD-21925,OFF-AR-10003056,8.56,2,0,2.48
20,CA-2014-143336,27/08/2014,01/09/2014,3,1,ZD-21925,TEC-PH-10001949,213.48,3,0.2,16.01
21,CA-2014-143336,27/08/2014,01/09/2014,3,1,ZD-21925,OFF-BI-10002215,22.72,4,0.2,7.38
22,CA-2016-137330,09/12/2016,13/12/2016,4,2,KB-16585,OFF-AR-10000246,19.46,7,0,5.05
23,CA-2016-137330,09/12/2016,13/12/2016,4,2,KB-16585,OFF-AP-10001492,60.34,7,0,15.68
24,US-2017-156909,16/07/2017,18/07/2017,3,1,SF-20065,FUR-CH-10002774,71.37,2,0.3,-1.01
