Product ID,Category,Sub-Category,Product Name
FUR-BO-10000112,1,5,"Bush Birmingham Collection Bookcase, Dark Cherry"
FUR-BO-10000330,1,5,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish"
FUR-BO-10000362,1,5,Sauder Inglewood Library Bookcases
FUR-BO-10000468,1,5,O'Sullivan 2-Shelf Heavy-Duty Bookcases
FUR-BO-10000711,1,5,"Hon Metal Bookcases, Gray"
FUR-BO-10000780,1,5,O'Sullivan Plantations 2-Door Library in Landvery Oak
FUR-BO-10001337,1,5,O'Sullivan Living Dimensions 2-Shelf Bookcases
FUR-BO-10001519,1,5,O'Sullivan 3-Shelf Heavy-Duty Bookcases
FUR-BO-10001567,1,5,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled"
FUR-BO-10001601,1,5,"Sauder Mission Library with Doors, Fruitwood Finish"
FUR-BO-10001608,1,5,"Hon Metal Bookcases, Black"
FUR-BO-10001619,1,5,O'Sullivan Cherrywood Estates Traditional Bookcase
FUR-BO-10001798,1,5,Bush Somerset Collection Bookcase
FUR-BO-10001811,1,5,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors"
FUR-BO-10001918,1,5,"Sauder Forest Hills Library with Doors, Woodland Oak Finish"
FUR-BO-10001972,1,5,O'Sullivan 4-Shelf Bookcase in Odessa Pine
FUR-BO-10002202,1,5,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors"
FUR-BO-10002206,1,5,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order"
FUR-BO-10002213,1,5,DMI Eclipse Executive Suite Bookcases
FUR-BO-10002213,1,5,"Sauder Forest Hills Library, Woodland Oak Finish"
FUR-BO-10002268,1,5,Sauder Barrister Bookcases
FUR-BO-10002545,1,5,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
FUR-BO-10002598,1,5,"Hon Metal Bookcases, Putty"
FUR-BO-10002613,1,5,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
FUR-BO-10002824,1,5,Bush Mission Pointe Library
FUR-BO-10002853,1,5,O'Sullivan 5-Shelf Heavy-Duty Bookcases
FUR-BO-10002916,1,5,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases"
FUR-BO-10003034,1,5,"O'Sullivan Elevations Bookcase, Cherry Finish"
FUR-BO-10003159,1,5,"Sauder Camden County Collection Libraries, Planked Cherry Finish"
FUR-BO-10003272,1,5,O'Sullivan Living Dimensions 5-Shelf Bookcases
FUR-BO-10003404,1,5,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish"
FUR-BO-10003433,1,5,Sauder Cornerstone Collection Library
FUR-BO-10003441,1,5,"Bush Westfield Collection Bookcases, Fully Assembled"
FUR-BO-10003450,1,5,"Bush Westfield Collection Bookcases, Dark Cherry Finish"
FUR-BO-10003546,1,5,Hon 4-Shelf Metal Bookcases
FUR-BO-10003660,1,5,"Bush Cubix Collection Bookcases, Fully Assembled"
FUR-BO-10003893,1,5,Sauder Camden County Collection Library
FUR-BO-10003894,1,5,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black"
FUR-BO-10003965,1,5,O'Sullivan Manor Hill 2-Door Library in Brianna Oak
FUR-BO-10003966,1,5,"Sauder Facets Collection Library, Sky Alder Finish"
FUR-BO-10004015,1,5,"Bush Andora Bookcase, Maple/Graphite Gray Finish"
FUR-BO-10004218,1,5,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order"
FUR-BO-10004357,1,5,O'Sullivan Living Dimensions 3-Shelf Bookcases
FUR-BO-10004360,1,5,Rush Hierlooms Collection Rich Wood Bookcases
FUR-BO-10004409,1,5,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray"
FUR-BO-10004467,1,5,Bestar Classic Bookcase
FUR-BO-10004690,1,5,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase
FUR-BO-10004695,1,5,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine
FUR-BO-10004709,1,5,"Bush Westfield Collection Bookcases, Medium Cherry Finish"
FUR-BO-10004834,1,5,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
FUR-CH-10000015,1,6,Hon Multipurpose Stacking Arm Chairs
FUR-CH-10000155,1,6,Global Comet Stacking Armless Chair
FUR-CH-10000225,1,6,"Global Geo Office Task Chair, Gray"
FUR-CH-10000229,1,6,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs
FUR-CH-10000309,1,6,Global Comet Stacking Arm Chair
FUR-CH-10000422,1,6,Global Highback Leather Tilter in Burgundy
FUR-CH-10000454,1,6,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
FUR-CH-10000513,1,6,High-Back Leather Manager's Chair
FUR-CH-10000553,1,6,"Metal Folding Chairs, Beige, 4/Carton"
FUR-CH-10000595,1,6,Safco Contoured Stacking Chairs
FUR-CH-10000665,1,6,"Global Airflow Leather Mesh Back Chair, Black"
FUR-CH-10000749,1,6,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms
FUR-CH-10000785,1,6,Global Ergonomic Managers Chair
FUR-CH-10000847,1,6,Global Executive Mid-Back Manager's Chair
FUR-CH-10000863,1,6,Novimex Swivel Fabric Task Chair
FUR-CH-10000988,1,6,Hon Olson Stacker Stools
FUR-CH-10001146,1,6,"Global Task Chair, Black"
FUR-CH-10001146,1,6,"Global Value Mid-Back Manager's Chair, Gray"
FUR-CH-10001190,1,6,Global Deluxe High-Back Office Chair in Storm
FUR-CH-10001215,1,6,Global Troy Executive Leather Low-Back Tilter
FUR-CH-10001270,1,6,Harbour Creations Steel Folding Chair
FUR-CH-10001394,1,6,Global Leather Executive Chair
FUR-CH-10001482,1,6,Office Star - Mesh Screen back chair with Vinyl seat
FUR-CH-10001545,1,6,Hon Comfortask Task/Swivel Chairs
FUR-CH-10001708,1,6,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back
FUR-CH-10001714,1,6,"Global Leather & Oak Executive Chair, Burgundy"
FUR-CH-10001797,1,6,"Safco Chair Connectors, 6/Carton"
FUR-CH-10001802,1,6,Hon Every-Day Chair Series Swivel Task Chairs
FUR-CH-10001854,1,6,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat
FUR-CH-10001891,1,6,Global Deluxe Office Fabric Chairs
FUR-CH-10001973,1,6,Office Star Flex Back Scooter Chair with White Frame
FUR-CH-10002017,1,6,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair
FUR-CH-10002024,1,6,HON 5400 Series Task Chairs for Big and Tall
FUR-CH-10002044,1,6,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum"
FUR-CH-10002073,1,6,Hon Olson Stacker Chairs
FUR-CH-10002084,1,6,Hon Mobius Operator's Chair
FUR-CH-10002126,1,6,Hon Deluxe Fabric Upholstered Stacking Chairs
FUR-CH-10002304,1,6,"Global Stack Chair without Arms, Black"
FUR-CH-10002317,1,6,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs
FUR-CH-10002320,1,6,Hon Pagoda Stacking Chairs
FUR-CH-10002331,1,6,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms
FUR-CH-10002335,1,6,Hon GuestStacker Chair
FUR-CH-10002372,1,6,Office Star - Ergonomically Designed Knee Chair
FUR-CH-10002439,1,6,"Iceberg Nesting Folding Chair, 19w x 6d x 43h"
FUR-CH-10002602,1,6,DMI Arturo Collection Mission-style Design Wood Chair
FUR-CH-10002647,1,6,"Situations Contoured Folding Chairs, 4/Set"
FUR-CH-10002758,1,6,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back"
